ISBN,STORE,PRICE,IMG,TITLE
9780060726461,Bookstores.com,2.59,https://images-na.ssl-images-amazon.com/images/I/517zrWaBHsL._SL300_.jpg,Great Short Works of Fyodor Dostoevsky (Harper Perennial Modern Classics)
9780060726461,Textbooks.com,2.5,https://images-na.ssl-images-amazon.com/images/I/517zrWaBHsL._SL300_.jpg,Great Short Works of Fyodor Dostoevsky (Harper Perennial Modern Classics)
9780060726461,Chegg,2.16,https://images-na.ssl-images-amazon.com/images/I/517zrWaBHsL._SL300_.jpg,Great Short Works of Fyodor Dostoevsky (Harper Perennial Modern Classics)
9780060726461,SellBackYourBook,1.73,https://images-na.ssl-images-amazon.com/images/I/517zrWaBHsL._SL300_.jpg,Great Short Works of Fyodor Dostoevsky (Harper Perennial Modern Classics)
9780060726461,Powell's,1.5,https://images-na.ssl-images-amazon.com/images/I/517zrWaBHsL._SL300_.jpg,Great Short Works of Fyodor Dostoevsky (Harper Perennial Modern Classics)
0814779433,SellBackYourBook,0.17,https://images-na.ssl-images-amazon.com/images/I/51mnz9I2SML._SL300_.jpg,Essential Papers on Messianic Movements and Personalities in Jewish History (Essential Papers on Jewish Studies)
9780060191443,SellBackYourBook,7.27,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,TextbookRush,6.61,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,Bookstores.com,6.6,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,Buyback Express,6.09,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,BooksRun,4.81,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,CKY Books,3.65,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,Amazon,3.45,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,Powell's,3.0,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780060191443,BlueRocketBooks,0.6,https://images-na.ssl-images-amazon.com/images/I/51-2Ox9pa3L._SL300_.jpg,Dressing the Man: Mastering the Art of Permanent Fashion
9780142000274,SellBackYourBook,0.12,https://images-na.ssl-images-amazon.com/images/I/51htC41jnKL._SL300_.jpg,Anna Karenina (Penguin Classics)
9781558615052,Textbooks.com,1.5,https://images-na.ssl-images-amazon.com/images/I/51tN8zAPzuL._SL300_.jpg,Laura (Femmes Fatales)
9781558615052,Chegg,1.08,https://images-na.ssl-images-amazon.com/images/I/51tN8zAPzuL._SL300_.jpg,Laura (Femmes Fatales)
9781558615052,Powell's,1.0,https://images-na.ssl-images-amazon.com/images/I/51tN8zAPzuL._SL300_.jpg,Laura (Femmes Fatales)
9781558615052,TextbookRush,0.7,https://images-na.ssl-images-amazon.com/images/I/51tN8zAPzuL._SL300_.jpg,Laura (Femmes Fatales)
9781558615052,BlueRocketBooks,0.62,https://images-na.ssl-images-amazon.com/images/I/51tN8zAPzuL._SL300_.jpg,Laura (Femmes Fatales)
9781558615052,SellBackYourBook,0.15,https://images-na.ssl-images-amazon.com/images/I/51tN8zAPzuL._SL300_.jpg,Laura (Femmes Fatales)
